REFERENCE CODE, SKU DESCRIPTION,DESCRIPTION LONG, BRAND,
719852921318,38151-08 1/2 RB FLOOR FLANGE,BRFLAN-1/2,ANDERSON METAL,
719852909972,38151-12 3/4 RB FLOOR FLANGE,BRFLAN-3/4,ANDERSON METAL,
719852922117,38300-0240 1/8X4 RB NIPPLE,BRN-1/8X4,ANDERSON METAL,
753274920061,38300-0240 1/8X4 RB NIPPLE,BRN-1/8X4,ANDERSON METAL,
719852922131,38300-0250 1/8 X 5 RB NIPPLE,BRN-1/8X5,ANDERSON METAL,
753274920085,38300-0250 1/8 X 5 RB NIPPLE,BRN-1/8X5,ANDERSON METAL,
719852922155,38300-0260 1/8 X 6 RB NIPPLE,BRN-1/8X6,ANDERSON METAL,
753274920108,38300-0260 1/8 X 6 RB NIPPLE,BRN-1/8X6,ANDERSON METAL,
719852922285,38300-0440 1/4X4 RB NIPPLE,BRN-1/4X4,ANDERSON METAL,
753274920306,38300-0440 1/4X4 RB NIPPLE,BRN-1/4X4,ANDERSON METAL,
719852922308,38300-0450 1/4 X 5 RB NIPPLE,BRN-1/4X5,ANDERSON METAL,
753274920320,38300-0450 1/4 X 5 RB NIPPLE,BRN-1/4X5,ANDERSON METAL,
719852922322,38300-0460 1/4 X 6 RB NIPPLE,BRN-1/4X6,ANDERSON METAL,
753274920344,38300-0460 1/4 X 6 RB NIPPLE,BRN-1/4X6,ANDERSON METAL,
032888402638,38300-0625 3/8X2 1/2 RB NIPPLE,BRN-3/8X21/2,ANDERSON METAL,
719852922445,38300-0625 3/8X2 1/2 RB NIPPLE,BRN-3/8X21/2,ANDERSON METAL,
753274920511,38300-0625 3/8X2 1/2 RB NIPPLE,BRN-3/8X21/2,ANDERSON METAL,
719852922452,38300-0630 3/8X3 RB NIPPLE,BRN-3/8X3,ANDERSON METAL,
753274920528,38300-0630 3/8X3 RB NIPPLE,BRN-3/8X3,ANDERSON METAL,
719852922476,38300-0640 3/8 X 4 RB NIPPLE,BRN-3/8X4,ANDERSON METAL,
753274920542,38300-0640 3/8 X 4 RB NIPPLE,BRN-3/8X4,ANDERSON METAL,
719852922490,38300-0650 3/8 X 5 RB NIPPLE,BRN-3/8X5,ANDERSON METAL,
753274920566,38300-0650 3/8 X 5 RB NIPPLE,BRN-3/8X5,ANDERSON METAL,
020111814716,38300-0660 3/8 X 6 RB NIPPLE,BRN-3/8X6,ANDERSON METAL,
032888402706,38300-0660 3/8 X 6 RB NIPPLE,BRN-3/8X6,ANDERSON METAL,
719852922513,38300-0660 3/8 X 6 RB NIPPLE,BRN-3/8X6,ANDERSON METAL,
753274920580,38300-0660 3/8 X 6 RB NIPPLE,BRN-3/8X6,ANDERSON METAL,
020111860942,1/2 X 1-1/2 RB NIPPLE,BRN-1/2X11/2,ANDERSON METAL,
692221020051,1/2 X 1-1/2 RB NIPPLE,BRN-1/2X11/2,ANDERSON METAL,
719852922605,1/2 X 1-1/2 RB NIPPLE,BRN-1/2X11/2,ANDERSON METAL,
753274920733,1/2 X 1-1/2 RB NIPPLE,BRN-1/2X11/2,ANDERSON METAL,
020111860959,1/2 X 2 RB NIPPLE,BRN-1/2X2,ANDERSON METAL,
692221020105,1/2 X 2 RB NIPPLE,BRN-1/2X2,ANDERSON METAL,
719852922612,1/2 X 2 RB NIPPLE,BRN-1/2X2,ANDERSON METAL,
753274920740,1/2 X 2 RB NIPPLE,BRN-1/2X2,ANDERSON METAL,
020111860966,38300-0825 1/2X21/2 RB NIPPLE,BRN-1/2X21/2,ANDERSON METAL,
719852922629,38300-0825 1/2X21/2 RB NIPPLE,BRN-1/2X21/2,ANDERSON METAL,
753274920757,38300-0825 1/2X21/2 RB NIPPLE,BRN-1/2X21/2,ANDERSON METAL,
020111860973,38300-0830 1/2X3 RB NIPPLE,BRN-1/2X3,ANDERSON METAL,
094913801816,38300-0830 1/2X3 RB NIPPLE,BRN-1/2X3,ANDERSON METAL,
636660504048,38300-0830 1/2X3 RB NIPPLE,BRN-1/2X3,ANDERSON METAL,
692221020143,38300-0830 1/2X3 RB NIPPLE,BRN-1/2X3,ANDERSON METAL,
719852922636,38300-0830 1/2X3 RB NIPPLE,BRN-1/2X3,ANDERSON METAL,
753274920764,38300-0830 1/2X3 RB NIPPLE,BRN-1/2X3,ANDERSON METAL,
020111860980,38300-0835 1/2 X31/2 RB NIPPLE,BRN-1/2X31/2,ANDERSON METAL,
719852922643,38300-0835 1/2 X31/2 RB NIPPLE,BRN-1/2X31/2,ANDERSON METAL,
753274920771,38300-0835 1/2 X31/2 RB NIPPLE,BRN-1/2X31/2,ANDERSON METAL,
020111860997,38300-0840 1/2X4 RB NIPPLE,BRN-1/2X4,ANDERSON METAL,
636660504062,38300-0840 1/2X4 RB NIPPLE,BRN-1/2X4,ANDERSON METAL,
719852922650,38300-0840 1/2X4 RB NIPPLE,BRN-1/2X4,ANDERSON METAL,
753274920788,38300-0840 1/2X4 RB NIPPLE,BRN-1/2X4,ANDERSON METAL,
804595947579,38300-0840 1/2X4 RB NIPPLE,BRN-1/2X4,ANDERSON METAL,
020111861017,38300-0850 1/2 X 5 RB NIPPLE,BRN-1/2X5,ANDERSON METAL,
094913801854,38300-0850 1/2 X 5 RB NIPPLE,BRN-1/2X5,ANDERSON METAL,
719852922674,38300-0850 1/2 X 5 RB NIPPLE,BRN-1/2X5,ANDERSON METAL,
753274920801,38300-0850 1/2 X 5 RB NIPPLE,BRN-1/2X5,ANDERSON METAL,
020111861024,1/2X51/2 RB NIPPLE,BRN-1/2X51/2,ANDERSON METAL,
094913801861,1/2X51/2 RB NIPPLE,BRN-1/2X51/2,ANDERSON METAL,
719852922681,1/2X51/2 RB NIPPLE,BRN-1/2X51/2,ANDERSON METAL,
753274920818,1/2X51/2 RB NIPPLE,BRN-1/2X51/2,ANDERSON METAL,
020111861031,38300-0860 1/2X6 RB NIPPLE,BRN-1/2X6,ANDERSON METAL,
094913801878,38300-0860 1/2X6 RB NIPPLE,BRN-1/2X6,ANDERSON METAL,
636660504109,38300-0860 1/2X6 RB NIPPLE,BRN-1/2X6,ANDERSON METAL,
719852922698,38300-0860 1/2X6 RB NIPPLE,BRN-1/2X6,ANDERSON METAL,
753274920825,38300-0860 1/2X6 RB NIPPLE,BRN-1/2X6,ANDERSON METAL,
020111861208,3/4 X 1-1/2 RB NIPPLE,BRN-3/4X11/2,ANDERSON METAL,
636660505014,3/4 X 1-1/2 RB NIPPLE,BRN-3/4X11/2,ANDERSON METAL,
719852922773,3/4 X 1-1/2 RB NIPPLE,BRN-3/4X11/2,ANDERSON METAL,
753274920979,3/4 X 1-1/2 RB NIPPLE,BRN-3/4X11/2,ANDERSON METAL,
020111861215,38300-1220 3/4 X 2 RB NIPPLE,BRN-3/4X2,ANDERSON METAL,
636660505021,38300-1220 3/4 X 2 RB NIPPLE,BRN-3/4X2,ANDERSON METAL,
719852922780,38300-1220 3/4 X 2 RB NIPPLE,BRN-3/4X2,ANDERSON METAL,
753274920986,38300-1220 3/4 X 2 RB NIPPLE,BRN-3/4X2,ANDERSON METAL,
020111861222,38300-1225 3/4X21/2 RB NIPPLE,BRN-3/4X21/2,ANDERSON METAL,
692221022314,38300-1225 3/4X21/2 RB NIPPLE,BRN-3/4X21/2,ANDERSON METAL,
719852922797,38300-1225 3/4X21/2 RB NIPPLE,BRN-3/4X21/2,ANDERSON METAL,
753274920993,38300-1225 3/4X21/2 RB NIPPLE,BRN-3/4X21/2,ANDERSON METAL,
020111861239,38300-1230 3/4X3 RB NIPPLE,BRN-3/4X3,ANDERSON METAL,
636660505045,38300-1230 3/4X3 RB NIPPLE,BRN-3/4X3,ANDERSON METAL,
692221022345,38300-1230 3/4X3 RB NIPPLE,BRN-3/4X3,ANDERSON METAL,
719852922803,38300-1230 3/4X3 RB NIPPLE,BRN-3/4X3,ANDERSON METAL,
753274921006,38300-1230 3/4X3 RB NIPPLE,BRN-3/4X3,ANDERSON METAL,
719852922810,38300-1235 3/4X31/2 RB NIPPLE,BRN-3/4X31/2,ANDERSON METAL,
753274921013,38300-1235 3/4X31/2 RB NIPPLE,BRN-3/4X31/2,ANDERSON METAL,
719852922827,38300-1240 3/4X4 RB NIPPLE,BRN-3/4X4,ANDERSON METAL,
753274921020,38300-1240 3/4X4 RB NIPPLE,BRN-3/4X4,ANDERSON METAL,
719852922834,38300-1245 3/4X41/2 RB NIPPLE,BRN-3/4X41/2,ANDERSON METAL,
753274921037,38300-1245 3/4X41/2 RB NIPPLE,BRN-3/4X41/2,ANDERSON METAL,
020111814662,38300-1250 3/4X5 RB NIPPLE,BRN-3/4X5,ANDERSON METAL,
719852922841,38300-1250 3/4X5 RB NIPPLE,BRN-3/4X5,ANDERSON METAL,
753274921044,38300-1250 3/4X5 RB NIPPLE,BRN-3/4X5,ANDERSON METAL,
020111814679,38300-1260 3/4X6 RB NIPPLE,BRN-3/4X6,ANDERSON METAL,
719852922865,38300-1260 3/4X6 RB NIPPLE,BRN-3/4X6,ANDERSON METAL,
753274921068,38300-1260 3/4X6 RB NIPPLE,BRN-3/4X6,ANDERSON METAL,
020111801112,38300-16 1X CLOSE RB NIPPLE,BRN-1XCL,ANDERSON METAL,
636660506004,38300-16 1X CLOSE RB NIPPLE,BRN-1XCL,ANDERSON METAL,
719852922964,38300-16 1X CLOSE RB NIPPLE,BRN-1XCL,ANDERSON METAL,
753274921204,38300-16 1X CLOSE RB NIPPLE,BRN-1XCL,ANDERSON METAL,
020111860690,38300-1620 1X2 RB NIPPLE,BRN-1X2,ANDERSON METAL,
636660506028,38300-1620 1X2 RB NIPPLE,BRN-1X2,ANDERSON METAL,
719852922971,38300-1620 1X2 RB NIPPLE,BRN-1X2,ANDERSON METAL,
753274921211,38300-1620 1X2 RB NIPPLE,BRN-1X2,ANDERSON METAL,
020111801136,38300-1630 1 X 3 RB NIPPLE,BRN-1X3,ANDERSON METAL,
094913802028,38300-1630 1 X 3 RB NIPPLE,BRN-1X3,ANDERSON METAL,
636660506042,38300-1630 1 X 3 RB NIPPLE,BRN-1X3,ANDERSON METAL,
719852922995,38300-1630 1 X 3 RB NIPPLE,BRN-1X3,ANDERSON METAL,
753274921235,38300-1630 1 X 3 RB NIPPLE,BRN-1X3,ANDERSON METAL,
020111860737,38300-1640 1X4 RB NIPPLE,BRN-1X4,ANDERSON METAL,

719852923015,38300-1640 1X4 RB NIPPLE,BRN-1X4,ANDERSON METAL,
753274921259,38300-1640 1X4 RB NIPPLE,BRN-1X4,ANDERSON METAL,
020111845345,38300-1660 1X6 RB NIPPLE,BRN-1X6,ANDERSON METAL,
719852923053,38300-1660 1X6 RB NIPPLE,BRN-1X6,ANDERSON METAL,
753274921297,38300-1660 1X6 RB NIPPLE,BRN-1X6,ANDERSON METAL,
636660507025,38300-2020 1 1/4X2 (SH) RB NIPPLE,BRN-11/4X2,ANDERSON METAL,
719852908005,38300-2020 1 1/4X2 (SH) RB NIPPLE,BRN-11/4X2,ANDERSON METAL,
753274921440,38300-2020 1 1/4X2 (SH) RB NIPPLE,BRN-11/4X2,ANDERSON METAL,
020111860898,38300-2030 11/4X3 RB NIPPLE,BRN-11/4X3,ANDERSON METAL,
719852908012,38300-2030 11/4X3 RB NIPPLE,BRN-11/4X3,ANDERSON METAL,
753274921464,38300-2030 11/4X3 RB NIPPLE,BRN-11/4X3,ANDERSON METAL,
719852999058,46046 AVC-86A 1/2 FIP X 3/8 OD,46046,ANDERSON METAL,
719852933632,50060-14 7/8 F60 SLEEVE,COMPSL-7/8,ANDERSON METAL,
719852937968,50060-14 7/8 F60 SLEEVE,COMPSL-7/8,ANDERSON METAL,
719852933724,50062-03 3/16 F62 UNION,COMPUN-3/16,ANDERSON METAL,
020111858857,50062-04 1/4 F62 UNION,COMPUN-1/4,ANDERSON METAL,
719852933731,50062-04 1/4 F62 UNION,COMPUN-1/4,ANDERSON METAL,
719852938040,50062-04 1/4 F62 UNION,COMPUN-1/4,ANDERSON METAL,
719852933748,50062-05 5/16 F62 UNION,COMPUN-5/16,ANDERSON METAL,
719852938057,50062-05 5/16 F62 UNION,COMPUN-5/16,ANDERSON METAL,
719852933755,50062-06 3/8 F62 UNION,COMPUN-3/8,ANDERSON METAL,
719852938064,50062-06 3/8 F62 UNION,COMPUN-3/8,ANDERSON METAL,
719852933762,50062-08 1/2 F62 UNION,COMPUN-1/2,ANDERSON METAL,
719852938071,50062-08 1/2 F62 UNION,COMPUN-1/2,ANDERSON METAL,
719852933779,50062-10 5/8 F62 UNION,COMPUN-5/8,ANDERSON METAL,
719852938088,50062-10 5/8 F62 UNION,COMPUN-5/8,ANDERSON METAL,
719852933786,50062-14 7/8 F62 UNION,COMPUN-7/8,ANDERSON METAL,
719852938095,50062-14 7/8 F62 UNION,COMPUN-7/8,ANDERSON METAL,
719852933809,750064-04 1/4 COMPRESSION TEE,COMPT-1/4,ANDERSON METAL,
719852938101,750064-04 1/4 COMPRESSION TEE,COMPT-1/4,ANDERSON METAL,
730007404302,750064-04 1/4 COMPRESSION TEE,COMPT-1/4,ANDERSON METAL,
719852933816,5/16 COMPRESSION TEE 750064-05,COMPT-5/16,ANDERSON METAL,
719852938118,5/16 COMPRESSION TEE 750064-05,COMPT-5/16,ANDERSON METAL,
340440,50064-06 3/8 F64 TEE,COMPT-3/8,ANDERSON METAL,
719852933823,50064-06 3/8 F64 TEE,COMPT-3/8,ANDERSON METAL,
719852938125,50064-06 3/8 F64 TEE,COMPT-3/8,ANDERSON METAL,
730007404401,50064-06 3/8 F64 TEE,COMPT-3/8,ANDERSON METAL,
719852933830,50064-08 1/2 F64 TEE,COMPT-1/2,ANDERSON METAL,
719852938132,50064-08 1/2 F64 TEE,COMPT-1/2,ANDERSON METAL,
719852933847,50064-10 5/8 F64 TEE,COMPT-5/8,ANDERSON METAL,
719852936695,50064-14 7/8 F64 TEE,COMPT-7/8,ANDERSON METAL,
719852933878,50065-04 1/4 F65 ELBOW,COMP90-1/4,ANDERSON METAL,
719852938453,50065-04 1/4 F65 ELBOW,COMP90-1/4,ANDERSON METAL,
719852933885,50065-05 F65 5/16 ELBOW,COMP90-5/16,ANDERSON METAL,
719852938163,50065-05 F65 5/16 ELBOW,COMP90-5/16,ANDERSON METAL,
719852933892,50065-06 3/8 F65 ELBOW,COMP90-3/8,ANDERSON METAL,
719852938477,50065-06 3/8 F65 ELBOW,COMP90-3/8,ANDERSON METAL,
719852933908,50065-08 1/2 F65 ELBOW,COMP90-1/2,ANDERSON METAL,
719852933915,50065-10 5/8 F65 ELBOW,COMP90-5/8,ANDERSON METAL,
719852938194,50065-10 5/8 F65 ELBOW,COMP90-5/8,ANDERSON METAL,
719852936701,50065-14 7/8 F65 ELBOW,COMP90-7/8,ANDERSON METAL,
719852933922,50066-0302 F66 3/16X1/8FE COUP,COMPF-3/16X1/8,ANDERSON METAL,
719852938200,50066-0302 F66 3/16X1/8FE COUP,COMPF-3/16X1/8,ANDERSON METAL,
719852933939,50066-0402 F66 1/4X1/8 FE COUP,COMPF-1/4X1/8,ANDERSON METAL,
719852938217,50066-0402 F66 1/4X1/8 FE COUP,COMPF-1/4X1/8,ANDERSON METAL,
719852933946,750066-0404FLL 1/4X1/4 FE COUP,COMPF-1/4X1/4,ANDERSON METAL,
719852938224,750066-0404FLL 1/4X1/4 FE COUP,COMPF-1/4X1/4,ANDERSON METAL,
719852937142,50066-0504 F66 5/16X1/4 FE COU,COMPF-5/16X1/4,ANDERSON METAL,
719852950233,50066-0504 F66 5/16X1/4 FE COU,COMPF-5/16X1/4,ANDERSON METAL,
719852933960,750066-0604FLL 3/8X1/4 FE COUP,COMPF-3/8X1/4,ANDERSON METAL,
719852938231,750066-0604FLL 3/8X1/4 FE COUP,COMPF-3/8X1/4,ANDERSON METAL,
719852933977,750066-0606FLL 3/8X3/8 FE COUP,COMPF-3/8X3/8,ANDERSON METAL,
719852938248,750066-0606FLL 3/8X3/8 FE COUP,COMPF-3/8X3/8,ANDERSON METAL,
020111858833,750066-0608FE COUPL 3/8 X 1/2,COMPF-3/8X1/2,ANDERSON METAL,
719852933984,750066-0608FE COUPL 3/8 X 1/2,COMPF-3/8X1/2,ANDERSON METAL,
719852938255,750066-0608FE COUPL 3/8 X 1/2,COMPF-3/8X1/2,ANDERSON METAL,
719852933991,750066-0806FE COUPL 1/2 X 3/8,COMPF-1/2X3/8,ANDERSON METAL,
719852938262,750066-0806FE COUPL 1/2 X 3/8,COMPF-1/2X3/8,ANDERSON METAL,
719852934004,750066-0808FE COUPL 1/2 X 1/2,COMPF-1/2X1/2,ANDERSON METAL,
719852938279,750066-0808FE COUPL 1/2 X 1/2,COMPF-1/2X1/2,ANDERSON METAL,
719852937159,50066-0812 F66 1/2X3/4 FE COUP,COMPF-1/2X3/4,ANDERSON METAL,
719852934011,50066-1008 F66 5/8X1/2 FE COUP,COMPF-5/8X1/2,ANDERSON METAL,
719852938286,50066-1008 F66 5/8X1/2 FE COUP,COMPF-5/8X1/2,ANDERSON METAL,
719852934028,50066-1012 F66 5/8X3/4 FE COUP,COMPF-5/8X3/4,ANDERSON METAL,
719852938293,50066-1012 F66 5/8X3/4 FE COUP,COMPF-5/8X3/4,ANDERSON METAL,
719852937166,50066-1408 F66 7/8X12 FE COUP,COMPF-7/8X1/2,ANDERSON METAL,
719852934035,50066-1412 F66 7/8X3/4 FE COUP,COMPF-7/8X3/4,ANDERSON METAL,
719852934059,50068-0302 F68 3/16X1/8 CONNEC,COMPM-3/16X1/8,ANDERSON METAL,
719852938316,50068-0302 F68 3/16X1/8 CONNEC,COMPM-3/16X1/8,ANDERSON METAL,
719852934066,50068-0402 F66 1/4X1/8 CONNECT,COMPM-1/4X1/8,ANDERSON METAL,
719852938323,50068-0402 F66 1/4X1/8 CONNECT,COMPM-1/4X1/8,ANDERSON METAL,
719852934073,50068-0404 F68 1/4X1/4 CONNECT,COMPM-1/4X1/4,ANDERSON METAL,
719852938330,50068-0404 F68 1/4X1/4 CONNECT,COMPM-1/4X1/4,ANDERSON METAL,
719852934103,750068-0502 F68 5/16X1/8 CONNEC,COMPM-5/16X1/8,ANDERSON METAL,
719852938347,750068-0502 F68 5/16X1/8 CONNEC,COMPM-5/16X1/8,ANDERSON METAL,
719852934110,50068-0504 F68 5/16X1/4 CONNEC,COMPM-5/16X1/4,ANDERSON METAL,
719852937173,50068-0506 F68 5/16X3/8 CONNEC,COMPM-5/16X3/8,ANDERSON METAL,
719852934134,50068-0604 F68 3/8X1/4 CONNECT,COMPM-3/8X1/4,ANDERSON METAL,
719852938361,50068-0604 F68 3/8X1/4 CONNECT,COMPM-3/8X1/4,ANDERSON METAL,
340680,50068-0606 F68 3/8X3/8 CONNECT,COMPM-3/8X3/8,ANDERSON METAL,
719852934141,50068-0606 F68 3/8X3/8 CONNECT,COMPM-3/8X3/8,ANDERSON METAL,
719852938378,50068-0606 F68 3/8X3/8 CONNECT,COMPM-3/8X3/8,ANDERSON METAL,
